id,pet_common_name,pet_scientific_name,pet_picture,pet_bio
517,African clawless otter,Aonyx capensis,http://dummyimage.com/178x171.bmp/5fa2dd/ffffff,In hac habitasse platea dictumst.
518,"Lemming, arctic",Dicrostonyx groenlandicus,http://dummyimage.com/168x182.bmp/ff4444/ffffff,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
519,"Fox, grey",Vulpes cinereoargenteus,http://dummyimage.com/181x227.jpg/ff4444/ffffff,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
520,Greater adjutant stork,Leptoptilus dubius,http://dummyimage.com/174x135.jpg/5fa2dd/ffffff,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus."
521,"Parakeet, rose-ringed",Psittacula krameri,http://dummyimage.com/117x178.jpg/ff4444/ffffff,Donec ut mauris eget massa tempor convallis.
522,"Boubou, southern",Laniarius ferrugineus,http://dummyimage.com/114x183.jpg/5fa2dd/ffffff,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio."
523,Grizzly bear,Ursus arctos,http://dummyimage.com/156x136.bmp/5fa2dd/ffffff,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.
524,Long-necked turtle,Chelodina longicollis,http://dummyimage.com/226x144.jpg/dddddd/000000,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
525,Long-necked turtle,Chelodina longicollis,http://dummyimage.com/154x190.bmp/5fa2dd/ffffff,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
526,"Squirrel, uinta ground",Spermophilus armatus,http://dummyimage.com/185x238.jpg/5fa2dd/ffffff,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
527,Four-horned antelope,Tetracerus quadricornis,http://dummyimage.com/250x232.jpg/dddddd/000000,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat."
528,Cheetah,Acinynox jubatus,http://dummyimage.com/202x170.png/5fa2dd/ffffff,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi."
529,"Turkey, common",Meleagris gallopavo,http://dummyimage.com/203x215.png/ff4444/ffffff,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
530,Ring-tailed possum,Pseudocheirus peregrinus,http://dummyimage.com/241x141.png/cc0000/ffffff,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
531,"Barbet, black-collared",Lybius torquatus,http://dummyimage.com/135x109.png/5fa2dd/ffffff,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio."
532,"Starling, superb",Lamprotornis superbus,http://dummyimage.com/106x157.bmp/ff4444/ffffff,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
533,White-tailed deer,Odocoilenaus virginianus,http://dummyimage.com/217x243.bmp/ff4444/ffffff,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat."
534,White-headed vulture,Aegypius occipitalis,http://dummyimage.com/233x202.jpg/dddddd/000000,Suspendisse potenti.
535,Red phalarope,Phalaropus fulicarius,http://dummyimage.com/112x131.jpg/5fa2dd/ffffff,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
536,"Gull, kelp",Larus dominicanus,http://dummyimage.com/111x213.jpg/dddddd/000000,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
537,"Magpie, black-backed",Gymnorhina tibicen,http://dummyimage.com/200x174.jpg/5fa2dd/ffffff,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo."
538,"Squirrel, grey-footed",Paraxerus cepapi,http://dummyimage.com/225x155.png/cc0000/ffffff,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus."
539,"Stork, black-necked",Ephippiorhynchus mycteria,http://dummyimage.com/134x216.bmp/ff4444/ffffff,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem."
540,Saddle-billed stork,Ephipplorhynchus senegalensis,http://dummyimage.com/194x181.png/5fa2dd/ffffff,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
541,"Lemming, arctic",Dicrostonyx groenlandicus,http://dummyimage.com/201x207.bmp/dddddd/000000,Maecenas rhoncus aliquam lacus.
542,Long-tailed skua,Stercorarius longicausus,http://dummyimage.com/173x198.png/ff4444/ffffff,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
543,"Seal, southern elephant",Mirounga leonina,http://dummyimage.com/239x203.jpg/cc0000/ffffff,"Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
544,"Wallaby, agile",Macropus agilis,http://dummyimage.com/208x184.bmp/5fa2dd/ffffff,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim."
545,"Alligator, american",Alligator mississippiensis,http://dummyimage.com/224x106.jpg/5fa2dd/ffffff,Duis consequat dui nec nisi volutpat eleifend.
546,Cereopsis goose,Cereopsis novaehollandiae,http://dummyimage.com/163x187.png/ff4444/ffffff,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
547,"Spider, wolf",Lycosa godeffroyi,http://dummyimage.com/139x234.jpg/ff4444/ffffff,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor."
548,Praying mantis (unidentified),unavailable,http://dummyimage.com/119x184.png/dddddd/000000,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
549,"Flamingo, lesser",Phoeniconaias minor,http://dummyimage.com/230x202.jpg/cc0000/ffffff,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
550,South African hedgehog,Erinaceus frontalis,http://dummyimage.com/203x133.png/ff4444/ffffff,Fusce consequat. Nulla nisl.
551,"Zorro, common",Dusicyon thous,http://dummyimage.com/174x127.png/dddddd/000000,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
552,Brush-tailed bettong,Bettongia penicillata,http://dummyimage.com/210x182.jpg/5fa2dd/ffffff,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
553,"Gull, lava",Larus fuliginosus,http://dummyimage.com/191x130.jpg/5fa2dd/ffffff,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus."
554,American alligator,Alligator mississippiensis,http://dummyimage.com/238x136.bmp/dddddd/000000,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.
555,"Squirrel, richardson's ground",Spermophilus richardsonii,http://dummyimage.com/204x241.jpg/cc0000/ffffff,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
556,Lily trotter,Actophilornis africanus,http://dummyimage.com/182x239.bmp/5fa2dd/ffffff,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
557,"Cow, scottish highland",Bos taurus,http://dummyimage.com/149x211.bmp/dddddd/000000,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
558,Crab-eating raccoon,Procyon cancrivorus,http://dummyimage.com/165x239.bmp/5fa2dd/ffffff,Morbi vel lectus in quam fringilla rhoncus.
559,"Gull, southern black-backed",Larus dominicanus,http://dummyimage.com/204x242.png/cc0000/ffffff,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
560,Goanna lizard,Varanus sp.,http://dummyimage.com/118x179.jpg/cc0000/ffffff,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
561,"Frogmouth, tawny",Podargus strigoides,http://dummyimage.com/120x242.jpg/ff4444/ffffff,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.
562,Brazilian otter,Pteronura brasiliensis,http://dummyimage.com/210x247.jpg/cc0000/ffffff,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh."
563,"Cormorant, pied",Phalacrocorax varius,http://dummyimage.com/138x127.jpg/dddddd/000000,Integer ac leo.
564,Burrowing owl,Speotyte cuniculata,http://dummyimage.com/240x119.png/dddddd/000000,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est."
565,White-throated toucan,Ramphastos tucanus,http://dummyimage.com/151x183.bmp/dddddd/000000,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum."
566,"Starfish, crown of thorns",Acanthaster planci,http://dummyimage.com/121x248.bmp/ff4444/ffffff,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
567,Spotted hyena,Crocuta crocuta,http://dummyimage.com/166x212.png/dddddd/000000,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
568,Wild turkey,Meleagris gallopavo,http://dummyimage.com/213x166.bmp/5fa2dd/ffffff,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
569,"Kingfisher, malachite",Corythornis cristata,http://dummyimage.com/171x198.bmp/ff4444/ffffff,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
570,"Macaw, scarlet",Ara macao,http://dummyimage.com/120x151.bmp/dddddd/000000,"Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
571,"Squirrel, richardson's ground",Spermophilus richardsonii,http://dummyimage.com/206x205.png/dddddd/000000,Pellentesque eget nunc.
572,"Goose, spur-winged",Plectopterus gambensis,http://dummyimage.com/248x243.png/dddddd/000000,"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus."
573,Southern screamer,Chauna torquata,http://dummyimage.com/180x110.jpg/cc0000/ffffff,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est."
574,Paca,Agouti paca,http://dummyimage.com/248x164.png/5fa2dd/ffffff,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
575,"Dragon, asian water",Physignathus cocincinus,http://dummyimage.com/193x221.png/ff4444/ffffff,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio."
576,"Screamer, crested",Chauna torquata,http://dummyimage.com/231x221.png/ff4444/ffffff,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.
577,Worm snake (unidentified),Carphophis sp.,http://dummyimage.com/196x196.bmp/cc0000/ffffff,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
578,"Heron, green",Butorides striatus,http://dummyimage.com/183x156.png/dddddd/000000,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat."
579,Common palm civet,Paradoxurus hermaphroditus,http://dummyimage.com/218x249.jpg/dddddd/000000,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
580,American black bear,Ursus americanus,http://dummyimage.com/192x181.jpg/5fa2dd/ffffff,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
581,Bobcat,Felis rufus,http://dummyimage.com/213x245.jpg/cc0000/ffffff,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus."
582,Yellow mongoose,Cynictis penicillata,http://dummyimage.com/210x230.png/ff4444/ffffff,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna."
583,Australian magpie,Gymnorhina tibicen,http://dummyimage.com/245x166.bmp/5fa2dd/ffffff,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
584,Ringtail,Bassariscus astutus,http://dummyimage.com/108x163.png/dddddd/000000,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat."
585,"Oryx, fringe-eared",Oryx gazella callotis,http://dummyimage.com/229x224.png/5fa2dd/ffffff,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
586,"Bison, american",Bison bison,http://dummyimage.com/125x102.bmp/cc0000/ffffff,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
587,"Dolphin, common",Delphinus delphis,http://dummyimage.com/223x172.png/cc0000/ffffff,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis."
588,Elegant crested tinamou,Eudromia elegans,http://dummyimage.com/124x237.jpg/5fa2dd/ffffff,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus."
589,Magnificent frigate bird,Fregata magnificans,http://dummyimage.com/186x209.png/dddddd/000000,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor."
590,Brown antechinus,Antechinus flavipes,http://dummyimage.com/199x166.bmp/5fa2dd/ffffff,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
591,White-necked stork,Ciconia episcopus,http://dummyimage.com/123x134.jpg/dddddd/000000,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
592,"Anteater, giant",Myrmecophaga tridactyla,http://dummyimage.com/115x143.jpg/ff4444/ffffff,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
593,Chestnut weaver,Ploceus rubiginosus,http://dummyimage.com/147x185.png/cc0000/ffffff,Suspendisse potenti.
594,Japanese macaque,Macaca fuscata,http://dummyimage.com/115x132.bmp/cc0000/ffffff,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.
595,"Fox, cape",Vulpes chama,http://dummyimage.com/232x200.png/dddddd/000000,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.
596,Australian magpie,Gymnorhina tibicen,http://dummyimage.com/183x202.bmp/ff4444/ffffff,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.
597,"Dove, ring",Columba palumbus,http://dummyimage.com/140x125.bmp/cc0000/ffffff,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
598,"Tortoise, radiated",Geochelone radiata,http://dummyimage.com/159x208.png/ff4444/ffffff,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus."
599,Ring dove,Columba palumbus,http://dummyimage.com/216x147.jpg/cc0000/ffffff,Etiam faucibus cursus urna.
600,"Baboon, gelada",Theropithecus gelada,http://dummyimage.com/226x213.png/cc0000/ffffff,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue."
601,Reindeer,Rangifer tarandus,http://dummyimage.com/165x202.jpg/cc0000/ffffff,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat."
602,Horned rattlesnake,Crotalus cerastes,http://dummyimage.com/249x240.bmp/dddddd/000000,Sed accumsan felis. Ut at dolor quis odio consequat varius.
603,African pied wagtail,Motacilla aguimp,http://dummyimage.com/197x243.png/ff4444/ffffff,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.
604,"Fox, savanna",Dusicyon thous,http://dummyimage.com/247x134.bmp/dddddd/000000,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
605,Raccoon dog,Nyctereutes procyonoides,http://dummyimage.com/240x171.png/cc0000/ffffff,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
